alignment,beat_of_occurrence,crash_date,crash_day_of_week,crash_hour,crash_month,crash_record_id,crash_type,damage,date_police_notified,device_condition,first_crash_type,hit_and_run_i,injuries_fatal,injuries_incapacitating,injuries_no_indication,injuries_non_incapacitating,injuries_reported_not_evident,injuries_total,injuries_unknown,latitude,lighting_condition,longitude,most_severe_injury,num_units,posted_speed_limit,prim_contributory_cause,report_type,road_defect,roadway_surface_cond,sec_contributory_cause,street_direction,street_name,street_no,traffic_control_device,trafficway_type,weather_condition,intersection_related_i,crash_date_est_i,private_property_i,statements_taken_i,photos_taken_i,work_zone_i,veh_count,ppl_count,location_json,veh_first_contact_point_list_json,veh_maneuver_list_json,veh_towed_i_list_json,veh_travel_direction_list_json,veh_unit_type_list_json,veh_vehicle_defect_list_json,veh_vehicle_use_list_json,veh_vehicle_year_list_json,ppl_age_list_json,ppl_airbag_deployed_list_json,ppl_ejection_list_json,ppl_injury_classification_list_json,ppl_person_type_list_json,ppl_safety_equipment_list_json,ppl_sex_list_json,ppl_seat_no_list_json
STRAIGHT AND LEVEL,1831,2025-09-18T18:13:00.000,5,18,9,0d7eed45fe457c065498f68e2ed4c07fbca977980f42d24b481e4e138c942016b8071ada0703bb733af7418bee326721defff28ccca78418e8fc04cb0d3c948b,INJURY AND / OR TOW DUE TO CRASH,$500 OR LESS,2025-09-18T18:14:00.000,FUNCTIONING PROPERLY,TURNING,Y,0,0,1,1,0,1,0,41.8947502101,DAYLIGHT,-87.6342983772,NONINCAPACITATING INJURY,2,30,FAILING TO YIELD RIGHT-OF-WAY,ON SCENE,NO DEFECTS,DRY,FAILING TO YIELD RIGHT-OF-WAY,N,WELLS ST,678,TRAFFIC SIGNAL,NOT DIVIDED,CLEAR,,,,,,,2,2,"{""coordinates"": [-87.634298377213, 41.894750210105], ""type"": ""Point""}","[""SIDE-LEFT"", ""UNKNOWN""]","[""STRAIGHT AHEAD"", ""TURNING LEFT""]",[],"[""S""]","[""DRIVER""]","[""NONE""]","[""PERSONAL"", ""UNKNOWN/NA""]","[""2018"", ""2023""]","[""28""]","[""DEPLOYMENT UNKNOWN"", ""NOT APPLICABLE""]","[""NONE""]","[""NO INDICATION OF INJURY"", ""NONINCAPACITATING INJURY""]","[""DRIVER""]","[""SAFETY BELT USED"", ""USAGE UNKNOWN""]","[""M""]",[]
STRAIGHT AND LEVEL,821,2025-09-18T18:22:00.000,5,18,9,427f76484d53a740bb659a540fbbfe20170cd1b6daa62c38e16a2a8aa90ce206c13436f703ef6442fab42996422973d5215117ec3c107db33b4cc795e6442ea0,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",2025-09-18T18:24:00.000,FUNCTIONING PROPERLY,PEDALCYCLIST,,0,0,1,0,1,1,0,41.8078782575,DAYLIGHT,-87.7142871977,"REPORTED, NOT EVIDENT",2,25,UNABLE TO DETERMINE,ON SCENE,UNKNOWN,DRY,EQUIPMENT - VEHICLE CONDITION,W,47TH ST,3609,TRAFFIC SIGNAL,"FIVE POINT, OR MORE",CLEAR,Y,,,,,,2,2,"{""coordinates"": [-87.714287197702, 41.807878257549], ""type"": ""Point""}","[""SIDE-RIGHT-FRONT""]","[""STRAIGHT AHEAD""]",[],"[""E""]","[""BICYCLE"", ""DRIVER""]","[""UNKNOWN""]","[""PERSONAL""]","[""2022""]","[""28""]","[""NOT APPLICABLE""]","[""NONE""]","[""NO INDICATION OF INJURY"", ""REPORTED, NOT EVIDENT""]","[""BICYCLE"", ""DRIVER""]","[""BICYCLE HELMET (PEDACYCLIST INVOLVED ONLY)"", ""USAGE UNKNOWN""]","[""F"", ""M""]",[]
STRAIGHT AND LEVEL,815,2025-09-18T18:40:00.000,5,18,9,897cbb3179be2dd867319911fb5d155862c69c82db3364eef120834db9a6a9c3ccfc20e75d69b1bc9bf161ea4777cf7401ce46f156d4aeb9b4e232dd49f9fa17,INJURY AND / OR TOW DUE TO CRASH,$500 OR LESS,2025-09-18T18:45:00.000,NO CONTROLS,PEDESTRIAN,,0,0,1,0,1,1,0,41.8001370619,DAYLIGHT,-87.7235087296,"REPORTED, NOT EVIDENT",2,25,UNABLE TO DETERMINE,ON SCENE,NO DEFECTS,DRY,UNABLE TO DETERMINE,S,PULASKI RD,5106,NO CONTROLS,PARKING LOT,CLEAR,,Y,Y,,,,2,2,"{""coordinates"": [-87.723508729617, 41.800137061878], ""type"": ""Point""}","[""FRONT-LEFT-CORNER""]","[""TURNING LEFT""]",[],"[""NW""]","[""DRIVER"", ""PEDESTRIAN""]","[""NONE""]","[""PERSONAL""]","[""2015""]","[""24"", ""27""]","[""DID NOT DEPLOY""]","[""NONE""]","[""NO INDICATION OF INJURY"", ""REPORTED, NOT EVIDENT""]","[""DRIVER"", ""PEDESTRIAN""]","[""SAFETY BELT USED""]","[""F"", ""M""]",[]
STRAIGHT AND LEVEL,1513,2025-09-18T18:45:00.000,5,18,9,e8f8b87726e9f36fc85cc873884ed5db5a84b8d67aea02ededa3b3d3ea313bfe23746855c740a6c08dfaa4fe5677570174f7aabe9bf1bb5a2953ebc34860df37,NO INJURY / DRIVE AWAY,"$501 - $1,500",2025-09-19T15:34:00.000,NO CONTROLS,PARKED MOTOR VEHICLE,,0,0,1,0,0,0,0,41.8703465244,DAWN,-87.7741287805,NO INDICATION OF INJURY,2,10,IMPROPER OVERTAKING/PASSING,NOT ON SCENE (DESK REPORT),NO DEFECTS,DRY,NOT APPLICABLE,S,AUSTIN BLVD,901,NO CONTROLS,PARKING LOT,CLEAR,,,Y,,,,2,1,"{""coordinates"": [-87.774128780491, 41.870346524362], ""type"": ""Point""}","[""FRONT-RIGHT-CORNER"", ""REAR-LEFT-CORNER""]","[""OTHER"", ""PARKED""]",[],"[""UNKNOWN""]","[""DRIVER"", ""PARKED""]","[""NONE""]","[""PERSONAL""]","[""2022""]","[""28""]","[""NOT APPLICABLE""]","[""NONE""]","[""NO INDICATION OF INJURY""]","[""DRIVER""]","[""USAGE UNKNOWN""]","[""F""]",[]
STRAIGHT AND LEVEL,711,2025-09-18T19:00:00.000,5,19,9,4b203d998511ef14a5f6e659dab4c51938fdb2e5393c3f87a8f2354c59b6719040f2c1d449883e2f33cbd991056638ac0fa924789ded065b225311cd18a5797e,NO INJURY / DRIVE AWAY,"OVER $1,500",2025-09-18T19:30:00.000,FUNCTIONING PROPERLY,REAR END,,0,0,2,0,0,0,0,41.7940538546,DAYLIGHT,-87.6327603613,NO INDICATION OF INJURY,2,30,UNABLE TO DETERMINE,NOT ON SCENE (DESK REPORT),NO DEFECTS,DRY,NOT APPLICABLE,W,GARFIELD BLVD,255,TRAFFIC SIGNAL,ONE-WAY,CLEAR,,,,,,,2,2,"{""coordinates"": [-87.632760361261, 41.794053854593], ""type"": ""Point""}","[""FRONT-RIGHT-CORNER"", ""REAR""]","[""SLOW/STOP IN TRAFFIC"", ""STRAIGHT AHEAD""]",[],"[""E""]","[""DRIVER""]","[""NONE""]","[""PERSONAL"", ""UNKNOWN/NA""]","[""2025""]","[""36"", ""50""]","[""DID NOT DEPLOY""]","[""NONE""]","[""NO INDICATION OF INJURY""]","[""DRIVER""]","[""SAFETY BELT USED"", ""USAGE UNKNOWN""]","[""M""]",[]
STRAIGHT AND LEVEL,2212,2025-09-18T19:05:00.000,5,19,9,39088bb12073409b49727fd1377c2d40c1d6a1fed3f96aced3140f1bbf08553436d826b60e86b6fa434b5155f87154363044df1f007141c57f660b9cfc2391bf,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",2025-09-18T19:05:00.000,FUNCTIONING PROPERLY,TURNING,Y,0,0,1,0,2,2,0,41.6927601787,DAYLIGHT,-87.6628212276,"REPORTED, NOT EVIDENT",2,30,IMPROPER TURNING/NO SIGNAL,ON SCENE,NO DEFECTS,DRY,NOT APPLICABLE,W,CHELSEA PL,1629,STOP SIGN/FLASHER,NOT DIVIDED,CLEAR,,,,,,,2,3,"{""coordinates"": [-87.662821227595, 41.692760178692], ""type"": ""Point""}","[""FRONT-LEFT-CORNER"", ""SIDE-LEFT-FRONT""]","[""STRAIGHT AHEAD"", ""TURNING RIGHT""]",[],"[""E"", ""W""]","[""DRIVER""]","[""NONE"", ""UNKNOWN""]","[""PERSONAL""]","[""2025""]","[""17"", ""49""]","[""DEPLOYMENT UNKNOWN"", ""DID NOT DEPLOY""]","[""NONE""]","[""NO INDICATION OF INJURY"", ""REPORTED, NOT EVIDENT""]","[""DRIVER"", ""PASSENGER""]","[""SAFETY BELT USED"", ""USAGE UNKNOWN""]","[""F"", ""X""]","[""3""]"
STRAIGHT AND LEVEL,2514,2025-09-18T19:05:00.000,5,19,9,aa2d8976c27952ff7db0c774d2b39b07ea38be8b42da37ab9804b2bbf6b7f55afe94da51059d496dcdbfac3f559b5958959f1a2b431d36d34dd35a4588d913b6,NO INJURY / DRIVE AWAY,"OVER $1,500",2025-09-18T19:40:00.000,FUNCTIONING PROPERLY,REAR END,,0,0,2,0,0,0,0,41.9384478216,DARKNESS,-87.7679270486,NO INDICATION OF INJURY,2,35,UNABLE TO DETERMINE,NOT ON SCENE (DESK REPORT),NO DEFECTS,DRY,UNABLE TO DETERMINE,W,BELMONT AVE,5635,TRAFFIC SIGNAL,NOT DIVIDED,CLEAR,,,,,,,2,2,"{""coordinates"": [-87.767927048618, 41.938447821635], ""type"": ""Point""}","[""FRONT"", ""REAR""]","[""SLOW/STOP IN TRAFFIC"", ""STRAIGHT AHEAD""]",[],"[""E""]","[""DRIVER""]","[""NONE""]","[""PERSONAL""]","[""2013"", ""2020""]","[""27"", ""49""]","[""NOT APPLICABLE""]","[""NONE""]","[""NO INDICATION OF INJURY""]","[""DRIVER""]","[""SAFETY BELT USED"", ""USAGE UNKNOWN""]","[""F"", ""M""]",[]
STRAIGHT AND LEVEL,2412,2025-09-18T19:09:00.000,5,19,9,6c4018181db4f4bcbda31de33c3105c5453bda74a39bfa46c4470869e44a67358ed4fcf76ac06cba7a48fec44231cb46c3ef0c4cde337ef95eb532a67680e336,NO INJURY / DRIVE AWAY,"$501 - $1,500",2025-09-18T20:20:00.000,NO CONTROLS,PARKED MOTOR VEHICLE,,0,0,2,0,0,0,0,41.997978189,"DARKNESS, LIGHTED ROAD",-87.6970725763,NO INDICATION OF INJURY,2,30,UNABLE TO DETERMINE,NOT ON SCENE (DESK REPORT),NO DEFECTS,DRY,NOT APPLICABLE,N,WASHTENAW AVE,6411,NO CONTROLS,ONE-WAY,CLEAR,,,,,,,2,2,"{""coordinates"": [-87.697072576283, 41.997978188986], ""type"": ""Point""}","[""FRONT"", ""REAR""]","[""BACKING"", ""PARKED""]",[],"[""N"", ""S""]","[""DRIVER"", ""PARKED""]","[""NONE""]","[""PERSONAL""]","[""2017"", ""2021""]","[""28""]","[""DEPLOYMENT UNKNOWN"", ""NOT APPLICABLE""]","[""NONE""]","[""NO INDICATION OF INJURY""]","[""DRIVER"", ""PASSENGER""]","[""SAFETY BELT USED"", ""USAGE UNKNOWN""]","[""F"", ""M""]","[""1""]"
STRAIGHT AND LEVEL,1134,2025-09-18T19:10:00.000,5,19,9,4bf9d84efeb2b896d3119dc1af62e2628462a5694bd0189effedf5000383a9f2047ac95b6c2b7a9211055fa01cf44cc9776d5fb306f01079308002a7831827af,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",2025-09-18T19:36:00.000,NO CONTROLS,PEDESTRIAN,Y,0,1,1,0,0,1,0,41.8683029684,"DARKNESS, LIGHTED ROAD",-87.7009903936,INCAPACITATING INJURY,2,30,FAILING TO YIELD RIGHT-OF-WAY,ON SCENE,NO DEFECTS,DRY,UNABLE TO DETERMINE,S,SACRAMENTO BLVD,1098,NO CONTROLS,NOT DIVIDED,CLEAR,Y,,,,,,2,2,"{""coordinates"": [-87.700990393556, 41.868302968388], ""type"": ""Point""}","[""UNKNOWN""]","[""TURNING RIGHT""]",[],"[""S""]","[""DRIVER"", ""PEDESTRIAN""]","[""UNKNOWN""]","[""UNKNOWN/NA""]",[],"[""58""]","[""DEPLOYMENT UNKNOWN""]","[""NONE""]","[""INCAPACITATING INJURY"", ""NO INDICATION OF INJURY""]","[""DRIVER"", ""PEDESTRIAN""]","[""USAGE UNKNOWN""]","[""F"", ""X""]",[]
STRAIGHT AND LEVEL,1031,2025-09-18T19:13:00.000,5,19,9,24941a66ec8d32f02ffe2ae1ab31f99aa9a4b45b45a56ff6b74745aeaa69a4255ae627a31c039615c604033f36539dbc47caedbccaa68eb819c567bbfe6c2478,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",2025-09-18T19:13:00.000,NO CONTROLS,REAR END,,0,0,2,0,0,0,0,41.8349280478,DARKNESS,-87.7281048935,NO INDICATION OF INJURY,2,30,FOLLOWING TOO CLOSELY,ON SCENE,NO DEFECTS,DRY,NOT APPLICABLE,S,KEDVALE AVE,3200,NO CONTROLS,NOT DIVIDED,CLEAR,,,,,,,2,2,"{""coordinates"": [-87.728104893516, 41.834928047772], ""type"": ""Point""}","[""FRONT"", ""REAR""]","[""STRAIGHT AHEAD""]","[""Y""]","[""N""]","[""DRIVER""]","[""NONE""]","[""PERSONAL""]","[""2010"", ""2013""]","[""22"", ""33""]","[""DEPLOYED, FRONT"", ""NOT APPLICABLE""]","[""NONE""]","[""NO INDICATION OF INJURY""]","[""DRIVER""]","[""SAFETY BELT USED""]","[""M""]",[]
