alignment,beat_of_occurrence,crash_date,crash_day_of_week,crash_hour,crash_month,crash_record_id,crash_type,damage,device_condition,first_crash_type,latitude,lighting_condition,longitude,num_units,posted_speed_limit,prim_contributory_cause,road_defect,roadway_surface_cond,sec_contributory_cause,street_direction,street_no,traffic_control_device,trafficway_type,weather_condition,private_property_i,hit_and_run_i,intersection_related_i,crash_date_est_i,work_zone_i,workers_present_i,veh_count,ppl_count,veh_area_01_i_list_json,veh_area_02_i_list_json,veh_area_12_i_list_json,veh_crash_date_list_json,veh_crash_unit_id_list_json,veh_first_contact_point_list_json,veh_lic_plate_state_list_json,veh_make_list_json,veh_maneuver_list_json,veh_model_list_json,veh_occupant_cnt_list_json,veh_travel_direction_list_json,veh_unit_no_list_json,veh_unit_type_list_json,veh_vehicle_defect_list_json,veh_vehicle_id_list_json,veh_vehicle_type_list_json,veh_vehicle_use_list_json,veh_vehicle_year_list_json,veh_area_03_i_list_json,veh_area_04_i_list_json,veh_area_11_i_list_json,veh_towed_by_list_json,veh_towed_i_list_json,veh_area_07_i_list_json,veh_area_99_i_list_json,veh_area_09_i_list_json,veh_area_10_i_list_json,veh_cmrc_veh_i_list_json,veh_num_passengers_list_json,veh_area_08_i_list_json,veh_area_00_i_list_json,veh_area_05_i_list_json,veh_area_06_i_list_json,veh_towed_to_list_json,ppl_age_list_json,ppl_airbag_deployed_list_json,ppl_bac_result_list_json,ppl_city_list_json,ppl_crash_date_list_json,ppl_driver_action_list_json,ppl_driver_vision_list_json,ppl_drivers_license_class_list_json,ppl_drivers_license_state_list_json,ppl_ejection_list_json,ppl_hospital_list_json,ppl_person_id_list_json,ppl_person_type_list_json,ppl_physical_condition_list_json,ppl_safety_equipment_list_json,ppl_sex_list_json,ppl_state_list_json,ppl_vehicle_id_list_json,ppl_zipcode_list_json,ppl_ems_agency_list_json,ppl_seat_no_list_json,ppl_pedpedal_action_list_json,ppl_pedpedal_location_list_json,ppl_pedpedal_visibility_list_json,ppl_ems_run_no_list_json,year,month,hour,day,is_weekend,hour_bin,lat_bin,lng_bin,grid_id,ppl_age_mean,ppl_age_min,ppl_age_max,prim_contributory_cause_group,ksi_flag
STRAIGHT AND LEVEL,2032,2025-10-10 22:30:00,6,22,10,B1F553EC86D3D9D3809F439A92EF293241F18728E7479D148FC3178D758C315705B44C7B11324A6845B72BF6393ED77FC68C63D05E5953ADBB67779DEA9C85C3,NO INJURY / DRIVE AWAY,$500 OR LESS,NO CONTROLS,PARKED MOTOR VEHICLE,41.9706876227,UNKNOWN,-87.6790096434,2,30,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,UNKNOWN,UNKNOWN,UNABLE TO DETERMINE,W,1970,NO CONTROLS,NOT DIVIDED,CLEAR,0.0,1.0,0.0,1.0,0.0,1.0,2,0,[],[],[],"[""2025-10-10T22:30:00.000""]","[""2169040"", ""2169041""]","[""FRONT-LEFT-CORNER"", ""UNKNOWN""]","[""IL""]","[""TOYOTA"", ""UNKNOWN""]","[""PARKED"", ""UNKNOWN/NA""]","[""COROLLA"", ""OTHER (EXPLAIN IN NARRATIVE)""]","[""0"", ""1""]","[""UNKNOWN"", ""W""]","[""1"", ""2""]","[""DRIVER"", ""PARKED""]","[""NONE"", ""UNKNOWN""]","[""2068686"", ""2068687""]","[""PASSENGER"", ""UNKNOWN/NA""]","[""PERSONAL"", ""UNKNOWN/NA""]","[""2018""]",[],[],"[""Y""]",[],[],[],"[""Y""]",[],"[""Y""]",[],[],[],[],[],[],[],[],"[""DEPLOYMENT UNKNOWN""]","[""TEST NOT OFFERED""]",[],"[""2025-10-10T22:30:00.000""]","[""UNKNOWN""]","[""UNKNOWN""]",[],[],"[""NONE""]",[],"[""O2169040""]","[""DRIVER""]","[""UNKNOWN""]","[""USAGE UNKNOWN""]","[""X""]",[],"[""2068686""]",[],[],[],[],[],[],[],2025,10,22,10,False,evening,41.97,-87.68,41.97_-87.68,0.0,0,0,OTHER,0
STRAIGHT AND LEVEL,2512,2025-10-10 22:27:00,6,22,10,EA9F5E28659FAA805B6F091C910BC07B047E206E99F9E14723F1E35A47DD113CE1AFA1E7F64834D80410CD373FDD8F8D93F58322C5877F08B51777662B4F65B4,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NO CONTROLS,SIDESWIPE SAME DIRECTION,41.9278708473,"DARKNESS, LIGHTED ROAD",-87.8062439655,2,30,FAILING TO YIELD RIGHT-OF-WAY,NO DEFECTS,DRY,UNABLE TO DETERMINE,N,2623,NO CONTROLS,DIVIDED - W/MEDIAN (NOT RAISED),CLEAR,0.0,0.0,0.0,0.0,0.0,1.0,1,2,"[""Y""]","[""Y""]",[],"[""2025-10-10T22:27:00.000""]","[""2167792"", ""2167793""]","[""SIDE-LEFT-FRONT"", ""SIDE-RIGHT-FRONT""]","[""IL""]","[""BUICK"", ""TOYOTA""]","[""ENTERING TRAFFIC LANE FROM PARKING"", ""STRAIGHT AHEAD""]","[""ENCLAVE"", ""HIGHLANDER""]","[""1""]","[""N""]","[""1"", ""2""]","[""DRIVER""]","[""NONE"", ""UNKNOWN""]","[""2066433"", ""2066437""]","[""SPORT UTILITY VEHICLE (SUV)""]","[""PERSONAL""]","[""2008"", ""2021""]",[],[],"[""Y""]","[""PRIVATE TOW""]","[""Y""]",[],[],[],"[""Y""]",[],[],[],[],[],[],[],"['39', '51']","[""DEPLOYMENT UNKNOWN""]","[""TEST NOT OFFERED""]","[""CHICAGO"", ""NILES""]","[""2025-10-10T22:27:00.000""]","[""FAILED TO YIELD"", ""NONE""]","[""NOT OBSCURED"", ""UNKNOWN""]","[""D""]","[""IL""]","[""NONE""]",[],"[""O2167792"", ""O2167793""]","[""DRIVER""]","[""NORMAL""]","[""USAGE UNKNOWN""]","[""M""]","[""IL""]","[""2066433"", ""2066437""]","[""60714""]",[],[],[],[],[],[],2025,10,22,10,False,evening,41.93,-87.81,41.93_-87.81,45.0,39,51,FAILURE-TO-YIELD,0
STRAIGHT AND LEVEL,931,2025-10-10 22:20:00,6,22,10,7C5015800B3C670C6D5F035FE0CA79F354878C7A99D8509359697CA77317F35BDF351ADFC5FD200F465686B9D2911861C06AC2E7166F8F255273C6C979D9BAF6,NO INJURY / DRIVE AWAY,$500 OR LESS,NO CONTROLS,FIXED OBJECT,41.8046763656,"DARKNESS, LIGHTED ROAD",-87.6747375634,1,30,NOT APPLICABLE,NO DEFECTS,DRY,NOT APPLICABLE,S,4904,NO CONTROLS,NOT DIVIDED,CLEAR,0.0,1.0,0.0,0.0,0.0,1.0,1,0,[],[],[],"[""2025-10-10T22:20:00.000""]","[""2167815""]","[""UNKNOWN""]","[""IL""]","[""UNKNOWN""]","[""UNKNOWN/NA""]","[""MOTORIZED""]","[""1""]","[""UNKNOWN""]","[""1""]","[""DRIVER""]","[""UNKNOWN""]","[""2066456""]","[""SINGLE UNIT TRUCK WITH TRAILER""]","[""UNKNOWN/NA""]",[],[],[],[],[],[],[],"[""Y""]",[],[],[],[],[],[],[],[],[],[],"[""DEPLOYMENT UNKNOWN""]","[""TEST NOT OFFERED""]",[],"[""2025-10-10T22:20:00.000""]","[""NONE""]","[""UNKNOWN""]",[],[],"[""NONE""]",[],"[""O2167815""]","[""DRIVER""]","[""UNKNOWN""]","[""USAGE UNKNOWN""]","[""X""]",[],"[""2066456""]",[],[],[],[],[],[],[],2025,10,22,10,False,evening,41.8,-87.67,41.8_-87.67,0.0,0,0,OTHER,0
STRAIGHT AND LEVEL,1611,2025-10-10 22:00:00,6,22,10,E2C88454695362C3B63C05D4D2710A9E07289134566D4AA0ED4CFCE6C2CD54F0C1CF9C0C0F14C8FBC31A2DF9C4C258E9ABCDDA952FF1B1FAC7E79558BC28347B,NO INJURY / DRIVE AWAY,"OVER $1,500",NO CONTROLS,REAR END,41.9951368666,UNKNOWN,-87.7873591324,2,30,UNABLE TO DETERMINE,OTHER,UNKNOWN,UNABLE TO DETERMINE,N,6259,TRAFFIC SIGNAL,UNKNOWN,CLEAR,0.0,0.0,0.0,0.0,0.0,1.0,1,2,"[""Y""]",[],"[""Y""]","[""2025-10-10T22:00:00.000""]","[""2168280"", ""2168281""]","[""FRONT"", ""REAR""]","[""IL""]","[""TESLA"", ""TOYOTA""]","[""STRAIGHT AHEAD""]","[""MODEL Y"", ""OTHER (EXPLAIN IN NARRATIVE)""]","[""1""]","[""N""]","[""1"", ""2""]","[""DRIVER""]","[""UNKNOWN""]","[""2066902"", ""2066903""]","[""PASSENGER"", ""UNKNOWN/NA""]","[""TAXI/FOR HIRE"", ""UNKNOWN/NA""]","[""2022"", ""2024""]",[],[],"[""Y""]",[],[],"[""Y""]",[],[],[],[],[],[],[],"[""Y""]","[""Y""]",[],"['40', '45']","[""NOT APPLICABLE""]","[""TEST NOT OFFERED""]","[""CHICAGO"", ""LAKE IN THE HILLS""]","[""2025-10-10T22:00:00.000""]","[""UNKNOWN""]","[""OTHER"", ""UNKNOWN""]","[""D"", ""DM""]","[""IL""]","[""NONE""]",[],"[""O2168280"", ""O2168281""]","[""DRIVER""]","[""UNKNOWN""]","[""USAGE UNKNOWN""]","[""M""]","[""IL""]","[""2066902"", ""2066903""]","[""60156"", ""60645""]",[],[],[],[],[],[],2025,10,22,10,False,evening,42.0,-87.79,42.0_-87.79,42.5,40,45,OTHER,0
STRAIGHT AND LEVEL,1831,2025-10-10 22:00:00,6,22,10,BAB4D90BF1DCADBE7E87FAAECC673E373958FF220894EF61467871D744EFC77C336BB378950739307B38DCA6054CA78BEAF1B896B3CF2649365F6D015C8772C4,NO INJURY / DRIVE AWAY,"$501 - $1,500",FUNCTIONING PROPERLY,HEAD ON,41.8916567898,"DARKNESS, LIGHTED ROAD",-87.6369610306,2,30,OBSTRUCTED CROSSWALKS,UNKNOWN,DRY,NOT APPLICABLE,W,336,TRAFFIC SIGNAL,NOT DIVIDED,CLEAR,0.0,1.0,0.0,0.0,0.0,1.0,1,0,[],[],[],"[""2025-10-10T22:00:00.000""]","[""2167787"", ""2167788""]","[""FRONT-LEFT-CORNER"", ""UNKNOWN""]",[],"[""PORSCHE"", ""UNKNOWN""]","[""SKIDDING/CONTROL LOSS"", ""SLOW/STOP IN TRAFFIC""]","[""CAYENNE"", ""OTHER (EXPLAIN IN NARRATIVE)""]","[""1""]","[""E"", ""W""]","[""1"", ""2""]","[""DRIVER""]","[""UNKNOWN""]","[""2066426"", ""2066428""]","[""MOTORCYCLE (OVER 150CC)"", ""PASSENGER""]","[""PERSONAL""]",[],[],[],"[""Y""]",[],[],[],"[""Y""]",[],[],[],[],[],[],[],[],[],[],"[""DEPLOYMENT UNKNOWN"", ""NOT APPLICABLE""]","[""TEST NOT OFFERED""]",[],"[""2025-10-10T22:00:00.000""]","[""NONE"", ""OTHER""]","[""NOT OBSCURED"", ""UNKNOWN""]",[],"[""IL""]","[""NONE""]",[],"[""O2167787"", ""O2167788""]","[""DRIVER""]","[""NORMAL"", ""UNKNOWN""]","[""DOT COMPLIANT MOTORCYCLE HELMET"", ""USAGE UNKNOWN""]","[""F"", ""M""]",[],"[""2066426"", ""2066428""]","[""60610""]",[],[],[],[],[],[],2025,10,22,10,False,evening,41.89,-87.64,41.89_-87.64,0.0,0,0,OTHER,0
STRAIGHT AND LEVEL,411,2025-10-10 22:00:00,6,22,10,6C491E451E6CBC741CD7810677B5B3B9204E5D63F875DF786778ACAB0D225F8F105FA42C6878B55AA57B5AA1BB2887697A7C58FFFC304B492A30F61CE6526E77,NO INJURY / DRIVE AWAY,"OVER $1,500",NO CONTROLS,ANGLE,41.756792071,UNKNOWN,-87.5953401231,2,30,UNABLE TO DETERMINE,UNKNOWN,UNKNOWN,UNABLE TO DETERMINE,S,7600,NO CONTROLS,UNKNOWN INTERSECTION TYPE,CLEAR,0.0,1.0,1.0,0.0,0.0,1.0,1,1,"[""Y""]","[""Y""]","[""Y""]","[""2025-10-10T22:00:00.000""]","[""2167948"", ""2167949""]","[""FRONT""]","[""IL""]","[""CHEVROLET"", ""CHRYSLER""]","[""UNKNOWN/NA""]","[""200"", ""IMPALA""]","[""1""]","[""E"", ""N""]","[""1"", ""2""]","[""DRIVER""]","[""UNKNOWN""]","[""2066580"", ""2066583""]","[""PASSENGER""]","[""PERSONAL""]","[""2017""]",[],[],"[""Y""]",[],[],[],[],[],[],[],[],[],[],[],[],[],['42'],"[""DEPLOYMENT UNKNOWN""]","[""TEST NOT OFFERED""]","[""MERRILLVILLE""]","[""2025-10-10T22:00:00.000""]","[""UNKNOWN""]","[""UNKNOWN""]",[],[],"[""NONE""]",[],"[""O2167948"", ""O2167949""]","[""DRIVER""]","[""UNKNOWN""]","[""USAGE UNKNOWN""]","[""M"", ""X""]","[""IN""]","[""2066580"", ""2066583""]",[],[],[],[],[],[],[],2025,10,22,10,False,evening,41.76,-87.6,41.76_-87.6,42.0,42,42,OTHER,0
STRAIGHT AND LEVEL,1814,2025-10-10 21:49:00,6,21,10,3CF0826C49DA46DFE9AF337FA01444A0CAF4B7D803055477CE51FD69558351AFA39ABAAFACB90C38C0179BABA67D2E3F2B790B701747C9B37776CC7B4DF54244,NO INJURY / DRIVE AWAY,"OVER $1,500",FUNCTIONING PROPERLY,SIDESWIPE SAME DIRECTION,41.9129184855,DARKNESS,-87.6349124118,2,30,FAILING TO REDUCE SPEED TO AVOID CRASH,NO DEFECTS,DRY,NOT APPLICABLE,N,1700,STOP SIGN/FLASHER,NOT DIVIDED,CLEAR,0.0,0.0,0.0,0.0,0.0,1.0,1,2,"[""Y""]","[""Y""]","[""Y""]","[""2025-10-10T21:49:00.000""]","[""2167789"", ""2167790""]","[""FRONT-LEFT-CORNER"", ""FRONT-RIGHT-CORNER""]","[""IL""]","[""FORD""]","[""STRAIGHT AHEAD""]","[""EXPLORER"", ""F150""]","[""2""]","[""S""]","[""1"", ""2""]","[""DRIVER""]","[""NONE""]","[""2066431"", ""2066436""]","[""PASSENGER"", ""PICKUP""]","[""PERSONAL"", ""POLICE""]","[""2012"", ""2021""]",[],[],"[""Y""]",[],[],[],[],[],"[""Y""]",[],"[""1""]",[],[],[],[],[],"['27', '29']","[""NOT APPLICABLE""]","[""TEST NOT OFFERED""]","[""CHICAGO""]","[""2025-10-10T21:49:00.000""]","[""EVADING POLICE VEHICLE"", ""NONE""]","[""NOT OBSCURED""]","[""D""]","[""IL""]","[""NONE""]",[],"[""O2167789"", ""O2167790"", ""P478303"", ""P478305""]","[""DRIVER"", ""PASSENGER""]","[""NORMAL"", ""UNKNOWN""]","[""CHILD RESTRAINT NOT USED"", ""NONE PRESENT"", ""SAFETY BELT USED"", ""USAGE UNKNOWN""]","[""F"", ""M""]","[""IL""]","[""2066431"", ""2066436""]","[""60610"", ""60620"", ""60625""]",[],"[""3"", ""4""]",[],[],[],[],2025,10,21,10,False,evening,41.91,-87.63,41.91_-87.63,28.0,27,29,SPEEDING,0
STRAIGHT AND LEVEL,1214,2025-10-10 21:45:00,6,21,10,A6868D371419FB53F777849DBA93DFE078B24BD7CEC8CE88F1AFD2E5611049D0D874FC99183229A3536C94B563CE77897B8F6A3B32177B9C40F523A290C8C5B9,NO INJURY / DRIVE AWAY,"$501 - $1,500",NO CONTROLS,REAR TO REAR,41.8873503089,"DARKNESS, LIGHTED ROAD",-87.6511717355,2,30,UNABLE TO DETERMINE,UNKNOWN,UNKNOWN,UNABLE TO DETERMINE,N,318,NO CONTROLS,NOT DIVIDED,CLEAR,0.0,1.0,0.0,0.0,0.0,1.0,1,1,[],[],[],"[""2025-10-10T21:45:00.000""]","[""2168036"", ""2168037""]","[""REAR"", ""SIDE-LEFT-REAR""]","[""IL"", ""IN""]","[""FORD"", ""HONDA""]","[""BACKING"", ""STRAIGHT AHEAD""]","[""CR-V"", ""EXPEDITION""]","[""1""]","[""UNKNOWN""]","[""1"", ""2""]","[""DRIVER""]","[""UNKNOWN""]","[""2066665"", ""2066670""]","[""SPORT UTILITY VEHICLE (SUV)""]","[""PERSONAL"", ""TAXI/FOR HIRE""]","[""2022"", ""2023""]",[],[],[],[],[],"[""Y""]",[],[],[],[],[],[],[],[],"[""Y""]",[],['50'],"[""DEPLOYMENT UNKNOWN""]","[""TEST NOT OFFERED""]","[""SCHAMBURG""]","[""2025-10-10T21:45:00.000""]","[""IMPROPER BACKING"", ""UNKNOWN""]","[""UNKNOWN""]","[""D""]","[""IL""]","[""UNKNOWN""]",[],"[""O2168036"", ""O2168037""]","[""DRIVER""]","[""EMOTIONAL"", ""UNKNOWN""]","[""USAGE UNKNOWN""]","[""M"", ""X""]","[""IL""]","[""2066665"", ""2066670""]","[""60194""]",[],[],[],[],[],[],2025,10,21,10,False,evening,41.89,-87.65,41.89_-87.65,50.0,50,50,OTHER,0
STRAIGHT AND LEVEL,1814,2025-10-10 21:45:00,6,21,10,358A9E2A20E38E0C4596591421866AB3572DF1638097321144AA837EBCBF4A4C04886B7B17A3FD4313F24E66E0E8843024C627904100431989A631F4A0CF2186,NO INJURY / DRIVE AWAY,"OVER $1,500",NO CONTROLS,SIDESWIPE SAME DIRECTION,41.925516848,"DARKNESS, LIGHTED ROAD",-87.6382218897,2,30,UNABLE TO DETERMINE,UNKNOWN,UNKNOWN,UNABLE TO DETERMINE,W,345,NO CONTROLS,NOT DIVIDED,CLEAR,0.0,0.0,0.0,0.0,0.0,1.0,1,1,"[""Y""]","[""Y""]",[],"[""2025-10-10T21:45:00.000""]","[""2169284"", ""2169285""]","[""FRONT-LEFT-CORNER"", ""FRONT-RIGHT-CORNER""]","[""IL""]","[""BMW"", ""CHEVROLET""]","[""CHANGING LANES"", ""STRAIGHT AHEAD""]","[""MALIBU"", ""OTHER (EXPLAIN IN NARRATIVE)""]","[""1""]","[""UNKNOWN""]","[""1"", ""2""]","[""DRIVER""]","[""UNKNOWN""]","[""2067833"", ""2067837""]","[""PASSENGER"", ""SPORT UTILITY VEHICLE (SUV)""]","[""PERSONAL""]","[""2021"", ""2024""]",[],[],"[""Y""]",[],[],[],[],[],"[""Y""]",[],[],[],[],[],[],[],['17'],"[""DEPLOYMENT UNKNOWN""]","[""TEST NOT OFFERED""]","[""CHICAGO""]","[""2025-10-10T21:45:00.000""]","[""IMPROPER LANE CHANGE"", ""OVERCORRECTED""]","[""UNKNOWN""]","[""D""]","[""IL""]","[""UNKNOWN""]",[],"[""O2169284"", ""O2169285""]","[""DRIVER""]","[""EMOTIONAL"", ""UNKNOWN""]","[""USAGE UNKNOWN""]","[""M""]","[""IL""]","[""2067833"", ""2067837""]","[""60614""]",[],[],[],[],[],[],2025,10,21,10,False,evening,41.93,-87.64,41.93_-87.64,17.0,17,17,OTHER,0
STRAIGHT AND LEVEL,634,2025-10-10 21:40:00,6,21,10,A540E940527200E5861A61316D4F5628081CECF342666FCAAC6E26086050DD9794ACB9F8BA819442E6311FFD0E7CB4AA023CA0D13CB965E2BF01CE7DF36AEB2C,INJURY AND / OR TOW DUE TO CRASH,"$501 - $1,500",NO CONTROLS,SIDESWIPE SAME DIRECTION,41.7217463768,"DARKNESS, LIGHTED ROAD",-87.6302625039,2,30,IMPROPER OVERTAKING/PASSING,NO DEFECTS,DRY,NOT APPLICABLE,W,246,NO CONTROLS,DIVIDED - W/MEDIAN (NOT RAISED),CLEAR,0.0,0.0,0.0,0.0,0.0,1.0,1,2,[],[],[],"[""2025-10-10T21:40:00.000""]","[""2167783"", ""2167784""]","[""FRONT-LEFT-CORNER"", ""REAR-RIGHT-CORNER""]","[""IL""]","[""MAZDA"", ""TESLA""]","[""PASSING/OVERTAKING"", ""STRAIGHT AHEAD""]","[""CX-5"", ""MODEL 3""]","[""1""]","[""W""]","[""1"", ""2""]","[""DRIVER""]","[""NONE""]","[""2066425"", ""2066429""]","[""PASSENGER""]","[""PERSONAL""]","[""2018"", ""2024""]",[],[],"[""Y""]",[],[],[],[],[],[],[],[],[],[],"[""Y""]",[],[],"['19', '54']","[""NOT APPLICABLE""]","[""TEST NOT OFFERED""]","[""CHICAGO"", ""LYNWOOD""]","[""2025-10-10T21:40:00.000""]","[""IMPROPER LANE CHANGE"", ""NONE""]","[""NOT OBSCURED""]","[""D""]","[""IL""]","[""NONE""]","[""DNA""]","[""O2167783"", ""O2167784""]","[""DRIVER""]","[""NORMAL""]","[""SAFETY BELT USED""]","[""F"", ""M""]","[""IL""]","[""2066425"", ""2066429""]","[""60411"", ""60644""]","[""CFD"", ""DNA""]",[],[],[],[],[],2025,10,21,10,False,evening,41.72,-87.63,41.72_-87.63,36.5,19,54,OTHER,1
